date,As
2014-10-5,0.00161667
2014-10-6,0.00146667
2014-10-7,0.00046667
2014-10-8,0
2014-10-9,0.00547143
2014-10-10,0.0076
2014-10-11,0.00676667
2014-10-12,0.0071
2014-10-13,0.0057
2014-10-14,0.0068
2014-10-15,0.00671667
2014-10-16,0.00675
2014-10-17,0.00726667
2014-10-18,0.00718333
2014-10-19,0.00753333
2014-10-20,0.0068
2014-10-21,0.00738333
2014-10-22,0.00771667
2014-10-23,0.00716667
2014-10-24,0.0071
2014-10-25,0.00688333
2014-10-26,0.0066
2014-10-27,0.00693333
2014-10-28,0.00678333
2014-10-29,0.0069
2014-10-30,0.00666667
2014-10-31,0.00603333
2014-11-1,0.00616667
2014-11-2,0.00548333
2014-11-3,0.00513333
2014-11-4,0.00506667
2014-11-5,0.00406667
2014-11-6,0.00411667
2014-11-7,0.00466667
2014-11-8,0.00513333
2014-11-9,0.00503333
2014-11-10,0.00465
2014-11-11,0.00433333
2014-11-12,0.00515
2014-11-19,0.00426
2014-11-20,0.00366667
2014-11-22,0.00463333
2014-11-23,0.00445
2014-11-24,0.00366667
2014-11-25,0.0033
2014-11-26,0.00431667
2014-11-27,0.00403333
2014-11-28,0.00263333
2014-11-29,0.00256667
2014-11-30,0.00201667
2014-12-1,0.00273333
2014-12-2,0.00336667
2014-12-3,0.0114875
2014-12-4,0.0075
2014-12-5,0.00561429
2014-12-6,0.00648333
2014-12-7,0.0058
2014-12-8,0.00565
2014-12-9,0.00568333
2014-12-10,0.00603333
2014-12-11,0.00573333
2014-12-12,0.0056
2014-12-13,0.00595
2014-12-14,0.00595
2014-12-18,0.00426
2014-12-19,0.00458333
2014-12-20,0.00421667
2014-12-21,0.00421667
2014-12-22,0.0043
2014-12-23,0.00436667
2014-12-24,0.00455
2014-12-25,0.00438333
2014-12-26,0.00411667
2014-12-27,0.00471667
2014-12-28,0.00446667
2014-12-29,0.001
2014-12-30,0.00341667
2014-12-31,0.00333333
2015-1-1,0.0023
2015-1-2,0.00263333
2015-1-3,0.00311667
2015-1-4,0.00283333
2015-1-5,0.00225
2015-1-6,0.00216667
2015-1-7,0.00208333
2015-1-8,0.00223333
2015-1-9,0.00185
2015-1-10,0.00185
2015-1-11,0.00198333
2015-1-12,0.00185
2015-1-13,0.00202
2015-1-21,0.001875
2015-1-22,0.00178333
2015-1-23,0.00181667
